MATRIU DE (FILES: 47934  COLUMNES: 47934 )
VALORS (FILA::COL::VALOR)
( 0 :: 2 :: 42 ) 
( 5 :: 9 :: 54 ) 
( 8 :: 1 :: 48 ) 
( 18 :: 59 :: 6 ) 
( 18 :: 118 :: 6 ) 
( 18 :: 128 :: 6 ) 
( 18 :: 136 :: 6 ) 
( 18 :: 790 :: 6 ) 
( 4365 :: 63 :: 6 ) 
( 4365 :: 125 :: 6 ) 
( 4365 :: 34969 :: 6 ) 
( 4393 :: 63 :: 6 ) 
( 4396 :: 63 :: 6 ) 
( 4396 :: 125 :: 6 ) 
( 9455 :: 47081 :: 6 ) 
( 9455 :: 47082 :: 6 ) 
( 10317 :: 7881 :: 6 ) 
( 10317 :: 8306 :: 6 ) 
( 10317 :: 47933 :: 6 ) 
( 11734 :: 398 :: 6 ) 
( 11734 :: 566 :: 6 ) 
( 34891 :: 16385 :: 6 ) 
( 34930 :: 16385 :: 6 ) 
( 34954 :: 4364 :: 6 ) 
( 34954 :: 8701 :: 6 ) 
( 34957 :: 2239 :: 6 ) 
( 34962 :: 14557 :: 6 ) 
( 34966 :: 4364 :: 6 ) 
( 34966 :: 4369 :: 6 ) 
( 34968 :: 4364 :: 6 ) 
( 34969 :: 25294 :: 6 ) 
