MATRIU DE (FILES: 47934  COLUMNES: 47934 )
VALORS (FILA::COL::VALOR)
( 0 :: 2 :: 14 ) 
( 5 :: 9 :: 18 ) 
( 8 :: 1 :: 16 ) 
( 18 :: 59 :: 2 ) 
( 18 :: 118 :: 2 ) 
( 18 :: 128 :: 2 ) 
( 18 :: 136 :: 2 ) 
( 18 :: 790 :: 2 ) 
( 4365 :: 63 :: 2 ) 
( 4365 :: 125 :: 2 ) 
( 4365 :: 34969 :: 2 ) 
( 4393 :: 63 :: 2 ) 
( 4396 :: 63 :: 2 ) 
( 4396 :: 125 :: 2 ) 
( 9455 :: 47081 :: 2 ) 
( 9455 :: 47082 :: 2 ) 
( 10317 :: 7881 :: 2 ) 
( 10317 :: 8306 :: 2 ) 
( 10317 :: 47933 :: 2 ) 
( 11734 :: 398 :: 2 ) 
( 11734 :: 566 :: 2 ) 
( 34891 :: 16385 :: 2 ) 
( 34930 :: 16385 :: 2 ) 
( 34954 :: 4364 :: 2 ) 
( 34954 :: 8701 :: 2 ) 
( 34957 :: 2239 :: 2 ) 
( 34962 :: 14557 :: 2 ) 
( 34966 :: 4364 :: 2 ) 
( 34966 :: 4369 :: 2 ) 
( 34968 :: 4364 :: 2 ) 
( 34969 :: 25294 :: 2 ) 
